sms_text,category,transaction_type,amount,merchant,bank,bank_key,date,language
"Dear Customer, your card ending 4433 was used for EGP 74.24 at UBER on 10 MAR 2026 - CIB-EGYPT",Transport,Purchase,74.24,UBER,CIB-EGYPT,CIB,10 MAR 2026,en
"تمت عملية شراء بمبلغ 281.99 ج.م لدى EGYPTIAN RAILWAYS باستخدام بطاقتكم المنتهية برقم 6206. الرصيد المتاح: 4,536.77 ج.م.",Transport,Purchase,281.99,EGYPTIAN RAILWAYS,Banque Misr,BANQUE_MISR,28/02/2026,ar
عزيزنا العميل، تم خصم مبلغ 160.18 جنيه من حسابك رقم ****6681 لدى INDRIVE بتاريخ 10/07/2026 - AlexandriaBank,Transport,Purchase,160.18,INDRIVE,AlexandriaBank,Alexbank,10/07/2026,ar
Transaction Alert: EGP 156.60 debited at INDRIVE on 03 MAR 2026. Card ****7776 - FAB_EGYPT,Transport,Purchase,156.6,INDRIVE,FAB_EGYPT,FAB,03 MAR 2026,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 2623 لسداد مبلغ 468.53 ج.م لدى ORANGE EGYPT.,Bills,Purchase,468.53,ORANGE EGYPT,بنك مصر,BANQUE_MISR,21/06/2026,ar
"From HSBC EGYPT: 01FEB26 ANGHAMI Purchase from 196-269***-429 EGP 134.50- Your available balance is EGP 1,829.32",Entertainment,Purchase,134.5,ANGHAMI,HSBC EGYPT,HSBC,01FEB26,en
"تمت عملية شراء بمبلغ 509.98 ج.م لدى GAS MISR باستخدام بطاقتكم المنتهية برقم 5029. الرصيد المتاح: 1,539.21 ج.م.",Bills,Purchase,509.98,GAS MISR,Banque Du Caire,BANQUE_DU_CAIRE,26/05/2026,ar
"وصلك مبلغ 16,516.83 جنيه في حسابك كراتب هذا الشهر، رصيدك الحالي أصبح 17,544.36 جنيه.",Salary,Salary Credit,16516.83,راتب شهري,CIB,CIB,25/04/2026,ar
"Dear Customer, your card ending 7909 was used for EGP 298.53 at ELECTRICITY COMPANY on 22 FEB 2026 - QNBAlAhli",Bills,Purchase,298.53,ELECTRICITY COMPANY,QNBAlAhli,QNB_ALAHLI,22 FEB 2026,en
"تم خصم 555.47 جم من بطاقة الخصم رقم 5700 عند Mahmoud El Far يوم 04-25 الساعة 22:41 المتاح 5,213.06 جم للمزيد اتصل ب 19623",Groceries,Purchase,555.47,Mahmoud El Far,BanK-AlAhly,NBE,04-25,ar
"QNB Al Ahli Alert: EGP 2,592.73 debited from JUMIA/Account card ending 4025 at POS transaction.",Shopping,Purchase,2592.73,JUMIA,QNB Al Ahli,QNB_ALAHLI,26 MAR 2026,en
"تمت عملية سحب نقدي بمبلغ 1,298.99 ج.م من ماكينة الصراف الآلي فرع الدقي باستخدام بطاقتكم المنتهية برقم 8256. الرصيد المتاح: 6,102.73 ج.م.",ATM Withdrawal,ATM Withdrawal,1298.99,ماكينة صراف آلي,ADIB_EGYPT,ADIB,25/03/2026,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 9612 لسداد مبلغ 58.35 ج.م لدى UBER.,Transport,Purchase,58.35,UBER,بنك مصر,BANQUE_MISR,01/04/2026,ar
"تمت عملية سحب نقدي بمبلغ 2,789.47 ج.م من ماكينة الصراف الآلي فرع وسط البلد باستخدام بطاقتكم المنتهية برقم 1349. الرصيد المتاح: 7,466.01 ج.م.",ATM Withdrawal,ATM Withdrawal,2789.47,ماكينة صراف آلي,BM-Egypt,BANQUE_MISR,17/04/2026,ar
تم الدفع لصالح BAZOOKA بمبلغ 258.67 جنيه عن طريق بطاقتك بتاريخ 15/06/2026,Dining,Purchase,258.67,BAZOOKA,Alex_Bank,Alexbank,15/06/2026,ar
"تمت عملية شراء بمبلغ 775.96 ج.م لدى OSCAR MARKET باستخدام بطاقتكم المنتهية برقم 8800. الرصيد المتاح: 1,249.74 ج.م.",Groceries,Purchase,775.96,OSCAR MARKET,BM-Egypt,BANQUE_MISR,28/05/2026,ar
"تمت عملية شراء بمبلغ 623.55 ج.م لدى GOURMET EGYPT باستخدام بطاقتكم المنتهية برقم 9056. الرصيد المتاح: 1,349.40 ج.م.",Groceries,Purchase,623.55,GOURMET EGYPT,HSBC,HSBC,13/03/2026,ar
تنبيه: عملية شراء بقيمة 111.02 جنيه في ANGHAMI تمت بنجاح - بنك القاهرة,Entertainment,Purchase,111.02,ANGHAMI,بنك القاهرة,BANQUE_DU_CAIRE,13/02/2026,ar
"عزيزنا العميل، تم خصم مبلغ 2,007.77 جنيه من حسابك رقم ****5343 لدى CARINA بتاريخ 21/04/2026 - BDC-Egypt",Shopping,Purchase,2007.77,CARINA,BDC-Egypt,BANQUE_DU_CAIRE,21/04/2026,ar
"ADIB_EGYPT Alert: Outward InstaPay transfer of EGP 2,645.39 from account XXXXX9470 was successful on 07 JUL 2026 04:28. Ref: Family Support.",Transfer,Transfer,2645.39,INSTAPAY,ADIB_EGYPT,ADIB,07 JUL 2026,en
تنبيه: عملية شراء بقيمة 302.63 جنيه في ELECTRICITY COMPANY تمت بنجاح - Alex Bank,Bills,Purchase,302.63,ELECTRICITY COMPANY,Alex Bank,Alexbank,13/05/2026,ar
Banque Du Caire Alert: EGP 615.29 debited from WATER COMPANY/Account card ending 8846 at POS transaction.,Bills,Purchase,615.29,WATER COMPANY,Banque Du Caire,BANQUE_DU_CAIRE,25 MAY 2026,en
"تمت عملية شراء بمبلغ 434.69 ج.م لدى TALABAT باستخدام بطاقتكم المنتهية برقم 7551. الرصيد المتاح: 4,965.30 ج.م.",Dining,Purchase,434.69,TALABAT,QNB Al Ahli,QNB_ALAHLI,19/03/2026,ar
"Cash withdrawal of EGP 2,393.18 from (Nasr City) using card ending 1879 on 17 JAN 2026. Remaining Balance: EGP 3,874.67",ATM Withdrawal,ATM Withdrawal,2393.18,ATM WITHDRAWAL,CIB-EGYPT,CIB,17 JAN 2026,en
"تم خصم 394.87 جم من بطاقة الائتمان رقم 5659 عند WE TELECOM يوم 04-23 الساعة 07:36 المتاح 3,371.17 جم للمزيد اتصل ب 19623",Bills,Purchase,394.87,WE TELECOM,البنك الأهلي المصري,NBE,04-23,ar
"تم خصم 2,365.59 جم من بطاقة الائتمان رقم 4208 عند 2B يوم 05-24 الساعة 20:02 المتاح 6,540.94 جم للمزيد اتصل ب 19623",Shopping,Purchase,2365.59,2B,BanK-AlAhly,NBE,05-24,ar
"Your monthly salary of EGP 7,615.05 has been credited to account ****4724 - ADIB_EGYPT",Salary,Salary Credit,7615.05,MONTHLY SALARY,ADIB_EGYPT,ADIB,19 MAY 2026,en
"Cash withdrawal of EGP 549.11 from (Fifth Settlement) using card ending 8122 on 23 FEB 2026. Remaining Balance: EGP 3,954.08",ATM Withdrawal,ATM Withdrawal,549.11,ATM WITHDRAWAL,AAIB,AAIB,23 FEB 2026,en
"عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 6871 لسداد مبلغ 1,427.45 ج.م لدى B.TECH.",Shopping,Purchase,1427.45,B.TECH,بنك مصر,BANQUE_MISR,22/06/2026,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 4505 لسداد مبلغ 611.87 ج.م لدى METRO MARKET.,Groceries,Purchase,611.87,METRO MARKET,بنك مصر,BANQUE_MISR,25/04/2026,ar
Transaction Alert: EGP 66.90 debited at SWVL on 21 FEB 2026. Card ****5780 - FAB_EGYPT,Transport,Purchase,66.9,SWVL,FAB_EGYPT,FAB,21 FEB 2026,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 5952 لسداد مبلغ 658.41 ج.م لدى BIM.,Groceries,Purchase,658.41,BIM,FAB_EGYPT,FAB,13/02/2026,ar
"Dear Customer, your card ending 6632 was used for EGP 182.68 at WATCH IT on 10 APR 2026 - AAIB",Entertainment,Purchase,182.68,WATCH IT,AAIB,AAIB,10 APR 2026,en
CIB Alert: EGP 504.84 debited from WATER COMPANY/Account card ending 7929 at POS transaction.,Bills,Purchase,504.84,WATER COMPANY,CIB,CIB,01 FEB 2026,en
"تم تحويل مبلغ 1,415.80 جنيه إلى حساب ****5435 عبر إنستا باي بتاريخ 20/01/2026",Transfer,Transfer,1415.8,إنستا باي,Banque Misr,BANQUE_MISR,20/01/2026,ar
"From HSBC: 18FEB26 JUMIA Purchase from 347-838***-616 EGP 2,837.76- Your available balance is EGP 5,420.44",Shopping,Purchase,2837.76,JUMIA,HSBC,HSBC,18FEB26,en
Transaction Alert: EGP 426.42 debited at ORANGE EGYPT on 06 FEB 2026. Card ****8436 - CIB-EGYPT,Bills,Purchase,426.42,ORANGE EGYPT,CIB-EGYPT,CIB,06 FEB 2026,en
"Transaction Alert: EGP 1,113.83 debited at AWLAD RAGAB on 23 JAN 2026. Card ****7333 - AAIB-EGYPT",Groceries,Purchase,1113.83,AWLAD RAGAB,AAIB-EGYPT,AAIB,23 JAN 2026,en
"You sent EGP 2,148.31 via VODAFONE CASH on 18 MAR 2026 - FAB_EGYPT",Transfer,Transfer,2148.31,VODAFONE CASH,FAB_EGYPT,FAB,18 MAR 2026,en
"Your account XXXXX9690 has been credited with EGP 17,336.99 via Payroll Deposit on 22 FEB 2026. Thank you",Salary,Salary Credit,17336.99,MONTHLY SALARY,FAB EGYPT,FAB,22 FEB 2026,en
تنبيه: عملية شراء بقيمة 395.73 جنيه في NOON تمت بنجاح - AAIB,Shopping,Purchase,395.73,NOON,AAIB,AAIB,10/04/2026,ar
"Dear Customer, your card ending 5857 was used for EGP 365.77 at MCDONALDS on 07 JUN 2026 - FAB_EGYPT",Dining,Purchase,365.77,MCDONALDS,FAB_EGYPT,FAB,07 JUN 2026,en
تنبيه: عملية شراء بقيمة 845.61 جنيه في SPINNEYS تمت بنجاح - BM-Egypt,Groceries,Purchase,845.61,SPINNEYS,BM-Egypt,BANQUE_MISR,10/06/2026,ar
Transaction Alert: EGP 792.95 debited at ORANGE EGYPT on 07 APR 2026. Card ****5806 - CIB Egypt,Bills,Purchase,792.95,ORANGE EGYPT,CIB Egypt,CIB,07 APR 2026,en
تم الدفع لصالح SPOTIFY بمبلغ 184.65 جنيه عن طريق بطاقتك بتاريخ 08/04/2026,Entertainment,Purchase,184.65,SPOTIFY,AAIB,AAIB,08/04/2026,ar
AAIB Alert: EGP 294.67 debited from OTLOB/Account card ending 2956 at POS transaction.,Dining,Purchase,294.67,OTLOB,AAIB,AAIB,28 MAR 2026,en
QNBAlAhli Alert: EGP 330.63 debited from BUFFALO BURGER/Account card ending 8291 at POS transaction.,Dining,Purchase,330.63,BUFFALO BURGER,QNBAlAhli,QNB_ALAHLI,15 JUL 2026,en
"From HSBC: 20JAN26 Transfer to FAWRY 327-625***-557 EGP 4,418.05- Your available balance is EGP 6,977.68",Transfer,Transfer,4418.05,FAWRY,HSBC,HSBC,20JAN26,en
"You sent EGP 1,124.03 via VODAFONE CASH on 16 JAN 2026 - QNBAlAhli",Transfer,Transfer,1124.03,VODAFONE CASH,QNBAlAhli,QNB_ALAHLI,16 JAN 2026,en
Transaction Alert: EGP 436.83 debited at BREADFAST on 17 JUN 2026. Card ****4612 - ADIB EGYPT,Groceries,Purchase,436.83,BREADFAST,ADIB EGYPT,ADIB,17 JUN 2026,en
QNBAlAhli Alert: EGP 254.41 debited from SHAHID/Account card ending 2210 at POS transaction.,Entertainment,Purchase,254.41,SHAHID,QNBAlAhli,QNB_ALAHLI,20 MAR 2026,en
"تمت عملية شراء بمبلغ 823.24 ج.م لدى CARREFOUR باستخدام بطاقتكم المنتهية برقم 3414. الرصيد المتاح: 5,086.51 ج.م.",Groceries,Purchase,823.24,CARREFOUR,Banque Du Caire,BANQUE_DU_CAIRE,05/03/2026,ar
"تم خصم 1,685.91 جم من حسابكم رقم 2414 عند DEFACTO يوم 05-02 الساعة 03:49 المتاح 5,791.87 جم للمزيد اتصل ب 19623",Shopping,Purchase,1685.91,DEFACTO,BanK-AlAhly,NBE,05-02,ar
"لقد قمت بسحب 1,341.81 جنيه نقدا من فرع البنك الرئيسي باستخدام بطاقتك رقم 7035.",ATM Withdrawal,ATM Withdrawal,1341.81,ماكينة صراف آلي,CIB Egypt,CIB,26/05/2026,ar
"From HSBC EGYPT: 16JAN26 GOURMET EGYPT Purchase from 575-617***-506 EGP 210.51- Your available balance is EGP 1,246.10",Groceries,Purchase,210.51,GOURMET EGYPT,HSBC EGYPT,HSBC,16JAN26,en
"تمت عملية شراء بمبلغ 2,311.91 ج.م لدى Pandora باستخدام بطاقتكم المنتهية برقم 5317. الرصيد المتاح: 3,545.84 ج.م.",Shopping,Purchase,2311.91,Pandora,Banque Misr,BANQUE_MISR,17/06/2026,ar
"From HSBC EGYPT: 21FEB26 SPOTIFY Purchase from 741-335***-820 EGP 54.14- Your available balance is EGP 2,448.24",Entertainment,Purchase,54.14,SPOTIFY,HSBC EGYPT,HSBC,21FEB26,en
"تم خصم 373.95 جم من حسابكم رقم 6298 عند ETISALAT MISR يوم 05-04 الساعة 06:44 المتاح 3,871.01 جم للمزيد اتصل ب 19623",Bills,Purchase,373.95,ETISALAT MISR,NBE,NBE,05-04,ar
"Your account ending in 3431 has been credited with EGP 4,830.77 via Inward Local Transfer. Total Available Balance: EGP 5,613.54",Transfer,Transfer,4830.77,Etisalat Cash,AAIB-EGYPT,AAIB,29 MAY 2026,en
"Dear Customer, your card ending 1635 was used for EGP 463.30 at WENDY'S on 25 MAR 2026 - FAB",Dining,Purchase,463.3,WENDY'S,FAB,FAB,25 MAR 2026,en
تنبيه: عملية شراء بقيمة 185.63 جنيه في WATCH IT تمت بنجاح - بنك مصر,Entertainment,Purchase,185.63,WATCH IT,بنك مصر,BANQUE_MISR,09/04/2026,ar
عزيزنا العميل، تم خصم مبلغ 63.77 جنيه من حسابك رقم ****3598 لدى INDRIVE بتاريخ 11/03/2026 - Alex Bank,Transport,Purchase,63.77,INDRIVE,Alex Bank,Alexbank,11/03/2026,ar
"عميلنا العزيز، تم إضافة مرتبكم بمبلغ 7,489.46 ج.م إلى حسابكم المنتهي برقم 8764 بتاريخ 26/04/2026. رصيدكم المتاح الحالي هو 11,280.66 ج.م.",Salary,Salary Credit,7489.46,راتب شهري,بنك مصر,BANQUE_MISR,26/04/2026,ar
تم الدفع لصالح BIM بمبلغ 216.95 جنيه عن طريق بطاقتك بتاريخ 17/03/2026,Groceries,Purchase,216.95,BIM,HSBC,HSBC,17/03/2026,ar
تنبيه: عملية شراء بقيمة 130.40 جنيه في MOBIL تمت بنجاح - BdC,Transport,Purchase,130.4,MOBIL,BdC,BANQUE_DU_CAIRE,09/04/2026,ar
"CIB-EGYPT Alert: Outward InstaPay transfer of EGP 1,614.73 from account XXXXX2663 was successful on 23 FEB 2026 02:31. Ref: Utility Split.",Transfer,Transfer,1614.73,Orange Cash,CIB-EGYPT,CIB,23 FEB 2026,en
"Dear Customer, your card ending 3826 was used for EGP 555.07 at WATER COMPANY on 05 FEB 2026 - FAB",Bills,Purchase,555.07,WATER COMPANY,FAB,FAB,05 FEB 2026,en
From HSBC: 21MAR26 EMIRATES MISR Purchase from 764-828***-915 EGP 110.57- Your available balance is EGP 606.96,Transport,Purchase,110.57,EMIRATES MISR,HSBC,HSBC,21MAR26,en
"قمت بسحب مبلغ 2,243.69 ج.م نقدا بتاريخ 05/05/2026 من ماكينة صراف آلي - Alex_Bank",ATM Withdrawal,ATM Withdrawal,2243.69,ماكينة صراف آلي,Alex_Bank,Alexbank,05/05/2026,ar
"Your monthly salary of EGP 14,041.65 has been credited to account ****4242 - CIB-EGYPT",Salary,Salary Credit,14041.65,MONTHLY SALARY,CIB-EGYPT,CIB,02 JUL 2026,en
"Your account XXXXX2647 has been credited with EGP 22,884.65 via Payroll Deposit on 01 JUN 2026. Thank you",Salary,Salary Credit,22884.65,MONTHLY SALARY,ADIB EGYPT,ADIB,01 JUN 2026,en
"تم خصم 365.89 جم من حسابكم رقم 6286 عند YOUTUBE PREMIUM يوم 07-12 الساعة 00:13 المتاح 1,476.77 جم للمزيد اتصل ب 19623",Entertainment,Purchase,365.89,YOUTUBE PREMIUM,البنك الأهلي المصري,NBE,07-12,ar
Transaction Alert: EGP 195.59 debited at WATCH IT on 10 JUN 2026. Card ****1318 - AAIB-EGYPT,Entertainment,Purchase,195.59,WATCH IT,AAIB-EGYPT,AAIB,10 JUN 2026,en
تم الدفع لصالح B.TECH بمبلغ 707.97 جنيه عن طريق بطاقتك بتاريخ 30/01/2026,Shopping,Purchase,707.97,B.TECH,بنك الأسكندرية,Alexbank,30/01/2026,ar
"تمت عملية سحب نقدي بمبلغ 1,323.85 ج.م من ماكينة الصراف الآلي فرع الدقي باستخدام بطاقتكم المنتهية برقم 7439. الرصيد المتاح: 6,061.45 ج.م.",ATM Withdrawal,ATM Withdrawal,1323.85,ماكينة صراف آلي,BM-Egypt,BANQUE_MISR,21/04/2026,ar
"تم خصم 372.80 جم من بطاقة الخصم رقم 2852 عند OSN+ يوم 04-05 الساعة 10:10 المتاح 4,029.50 جم للمزيد اتصل ب 19623",Entertainment,Purchase,372.8,OSN+,البنك الأهلي المصري,NBE,04-05,ar
تنبيه: تم إضافة تحويل وارد بحسابكم المنتهي برقم 9159 بمبلغ 408.35 ج.م من شهد ي**** A*** بتاريخ اليوم 13/03/2026.,Transfer,Transfer,408.35,فوري,Alex Bank,Alexbank,13/03/2026,ar
تنبيه: عملية شراء بقيمة 379.99 جنيه في WENDY'S تمت بنجاح - Banque Misr,Dining,Purchase,379.99,WENDY'S,Banque Misr,BANQUE_MISR,22/06/2026,ar
"QNBAlAhli Alert: Outward InstaPay transfer of EGP 4,178.67 from account XXXXX8071 was successful on 18 JUN 2026 19:03. Ref: Utility Split.",Transfer,Transfer,4178.67,FAWRY,QNBAlAhli,QNB_ALAHLI,18 JUN 2026,en
تمت عملية شراء بمبلغ 104.94 ج.م لدى EMIRATES MISR باستخدام بطاقتكم المنتهية برقم 4804. الرصيد المتاح: 806.09 ج.م.,Transport,Purchase,104.94,EMIRATES MISR,Banque Misr,BANQUE_MISR,18/06/2026,ar
"تم خصم 137.13 جم من حسابكم رقم 6726 عند WATCH IT يوم 01-29 الساعة 18:59 المتاح 2,359.66 جم للمزيد اتصل ب 19623",Entertainment,Purchase,137.13,WATCH IT,البنك الأهلي المصري,NBE,01-29,ar
"Dear Customer, your card ending 7777 was used for EGP 188.44 at WENDY'S on 24 MAY 2026 - AAIB-EGYPT",Dining,Purchase,188.44,WENDY'S,AAIB-EGYPT,AAIB,24 MAY 2026,en
"تم سحب 2,128.33 جم نقدا من بطاقة الائتمان رقم 3958 من ماكينة صراف آلي يوم 05-10 الساعة 21:03 المتاح 7,023.87 جم للمزيد اتصل ب 19623",ATM Withdrawal,ATM Withdrawal,2128.33,ماكينة صراف آلي,البنك الأهلي المصري,NBE,05-10,ar
"Cash withdrawal of EGP 2,529.60 from (Mohandessin) using card ending 2231 on 09 JUN 2026. Remaining Balance: EGP 7,059.56",ATM Withdrawal,ATM Withdrawal,2529.6,ATM WITHDRAWAL,AAIB,AAIB,09 JUN 2026,en
عزيزنا العميل، تم خصم مبلغ 279.77 جنيه من حسابك رقم ****6374 لدى HYPER ONE بتاريخ 16/02/2026 - BDC-Egypt,Groceries,Purchase,279.77,HYPER ONE,BDC-Egypt,BANQUE_DU_CAIRE,16/02/2026,ar
تم الدفع لصالح VOX CINEMA بمبلغ 292.02 جنيه عن طريق بطاقتك بتاريخ 19/01/2026,Entertainment,Purchase,292.02,VOX CINEMA,HSBC EGYPT,HSBC,19/01/2026,ar
"تنبيه: تم سحب مبلغ 1,151.84 ج.م باستخدام بطاقة الخصم المباشر 4027 من ماكينة بنك آخر. تم تطبيق رسوم سحب بقيمة 2.00 ج.م.",ATM Withdrawal,ATM Withdrawal,1151.84,ماكينة صراف آلي,AAIB-EGYPT,AAIB,26/06/2026,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 6333 لسداد مبلغ 416.34 ج.م لدى WE TELECOM.,Bills,Purchase,416.34,WE TELECOM,AlexandriaBank,Alexbank,28/05/2026,ar
"Dear Customer, your card ending 2029 was used for EGP 236.23 at ELECTRICITY COMPANY on 19 MAY 2026 - BanK-AlAhly",Bills,Purchase,236.23,ELECTRICITY COMPANY,BanK-AlAhly,NBE,19 MAY 2026,en
تم تحويل مبلغ 575.75 جنيه إلى حساب ****8861 عبر فوري بتاريخ 25/03/2026,Transfer,Transfer,575.75,فوري,Banque Misr,BANQUE_MISR,25/03/2026,ar
"Dear Customer, your card ending 2706 was used for EGP 82.75 at SHELL on 04 JUL 2026 - بنك مصر",Transport,Purchase,82.75,SHELL,بنك مصر,BANQUE_MISR,04 JUL 2026,en
"تم خصم 257.69 جم من حسابكم رقم 5627 عند SPOTIFY يوم 04-11 الساعة 03:04 المتاح 4,834.39 جم للمزيد اتصل ب 19623",Entertainment,Purchase,257.69,SPOTIFY,البنك الأهلي المصري,NBE,04-11,ar
"Dear Customer, your card ending 1489 was used for EGP 172.52 at OSN+ on 14 JUL 2026 - BM-Egypt",Entertainment,Purchase,172.52,OSN+,BM-Egypt,BANQUE_MISR,14 JUL 2026,en
عزيزنا العميل، تم خصم مبلغ 686.34 جنيه من حسابك رقم ****3481 لدى GAS MISR بتاريخ 14/05/2026 - HSBC,Bills,Purchase,686.34,GAS MISR,HSBC,HSBC,14/05/2026,ar
QNBAlAhli Alert: EGP 87.22 debited from TALABAT/Account card ending 7044 at POS transaction.,Dining,Purchase,87.22,TALABAT,QNBAlAhli,QNB_ALAHLI,28 JUN 2026,en
AAIB Alert: EGP 654.14 debited from WATER COMPANY/Account card ending 8320 at POS transaction.,Bills,Purchase,654.14,WATER COMPANY,AAIB,AAIB,10 JUN 2026,en
"تم خصم 264.07 جم من حسابكم رقم 2848 عند WENDY'S يوم 03-21 الساعة 23:21 المتاح 1,074.77 جم للمزيد اتصل ب 19623",Dining,Purchase,264.07,WENDY'S,البنك الأهلي المصري,NBE,03-21,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 5918 لسداد مبلغ 86.81 ج.م لدى KFC.,Dining,Purchase,86.81,KFC,Banque Misr,BANQUE_MISR,22/01/2026,ar
"بنك الأسكندرية Alert: EGP 1,353.82 debited from JUMIA/Account card ending 6952 at POS transaction.",Shopping,Purchase,1353.82,JUMIA,بنك الأسكندرية,Alexbank,25 MAY 2026,en
AAIB-EGYPT Alert: EGP 541.58 debited from ELECTRICITY COMPANY/Account card ending 3494 at POS transaction.,Bills,Purchase,541.58,ELECTRICITY COMPANY,AAIB-EGYPT,AAIB,17 JAN 2026,en
"From HSBC: 04FEB26 TOTAL FUEL STATION Purchase from 103-510***-304 EGP 146.91- Your available balance is EGP 2,391.76",Transport,Purchase,146.91,TOTAL FUEL STATION,HSBC,HSBC,04FEB26,en
"تم خصم 410.18 جم من حسابكم رقم 8093 عند ELMENUS يوم 01-16 الساعة 23:59 المتاح 1,146.82 جم للمزيد اتصل ب 19623",Dining,Purchase,410.18,ELMENUS,BanK-AlAhly,NBE,01-16,ar
ADIB EGYPT Alert: EGP 806.67 debited from AMAZON EGYPT/Account card ending 6547 at POS transaction.,Shopping,Purchase,806.67,AMAZON EGYPT,ADIB EGYPT,ADIB,07 FEB 2026,en
